,feature_combination,best_n_neighbors,best_cv_score
171,"('age', 'fbs', 'thalach', 'oldpeak')",7,0.7198439853222461
172,"('age', 'fbs', 'thalach', 'slope')",9,0.7051593613042888
173,"('age', 'fbs', 'thalach', 'ca')",15,0.7770068558443844
174,"('age', 'fbs', 'thalach', 'thal')",5,0.7841736669127972
175,"('age', 'fbs', 'exang', 'oldpeak')",5,0.7366861142078533
176,"('age', 'fbs', 'exang', 'slope')",9,0.735775657514788
177,"('age', 'fbs', 'exang', 'ca')",13,0.7661683329619314
178,"('age', 'fbs', 'exang', 'thal')",11,0.7713809523809523
179,"('age', 'fbs', 'oldpeak', 'slope')",9,0.6976828847481021
180,"('age', 'fbs', 'oldpeak', 'ca')",9,0.7829579072084794
181,"('age', 'fbs', 'oldpeak', 'thal')",9,0.7631875950136819
182,"('age', 'fbs', 'slope', 'ca')",9,0.7688707228225101
183,"('age', 'fbs', 'slope', 'thal')",17,0.7378537404624361
184,"('age', 'fbs', 'ca', 'thal')",7,0.800512249425293
185,"('age', 'restecg', 'thalach', 'exang')",11,0.7462788834763094
186,"('age', 'restecg', 'thalach', 'oldpeak')",3,0.712138643964731
187,"('age', 'restecg', 'thalach', 'slope')",3,0.7026308813381855
188,"('age', 'restecg', 'thalach', 'ca')",15,0.7549173551679272
189,"('age', 'restecg', 'thalach', 'thal')",17,0.7572744944266684
190,"('age', 'restecg', 'exang', 'oldpeak')",11,0.7396800908219672
191,"('age', 'restecg', 'exang', 'slope')",7,0.7288504683722075
192,"('age', 'restecg', 'exang', 'ca')",19,0.7529669230393868
193,"('age', 'restecg', 'exang', 'thal')",19,0.745085767271122
194,"('age', 'restecg', 'oldpeak', 'slope')",19,0.7035593601245775
195,"('age', 'restecg', 'oldpeak', 'ca')",11,0.7721958324611835
196,"('age', 'restecg', 'oldpeak', 'thal')",13,0.7702590794802847
197,"('age', 'restecg', 'slope', 'ca')",11,0.7507925993839617
198,"('age', 'restecg', 'slope', 'thal')",7,0.7675635234330886
199,"('age', 'restecg', 'ca', 'thal')",3,0.7763410357758184
200,"('age', 'thalach', 'exang', 'oldpeak')",7,0.764371351024143
201,"('age', 'thalach', 'exang', 'slope')",7,0.7123813456680181
202,"('age', 'thalach', 'exang', 'ca')",15,0.7878393094884324
203,"('age', 'thalach', 'exang', 'thal')",11,0.7671427441107075
204,"('age', 'thalach', 'oldpeak', 'slope')",9,0.7242400653560074
205,"('age', 'thalach', 'oldpeak', 'ca')",17,0.7997683548335722
206,"('age', 'thalach', 'oldpeak', 'thal')",19,0.7414083865678068
207,"('age', 'thalach', 'slope', 'ca')",5,0.7672772010598098
208,"('age', 'thalach', 'slope', 'thal')",13,0.7636238951601271
209,"('age', 'thalach', 'ca', 'thal')",7,0.8134395073525509
210,"('age', 'exang', 'oldpeak', 'slope')",5,0.7022088169479473
211,"('age', 'exang', 'oldpeak', 'ca')",11,0.7914651591028403
212,"('age', 'exang', 'oldpeak', 'thal')",7,0.7551322456394921
213,"('age', 'exang', 'slope', 'ca')",7,0.7788611302814201
214,"('age', 'exang', 'slope', 'thal')",5,0.7658461248896031
215,"('age', 'exang', 'ca', 'thal')",9,0.8088569128134345
216,"('age', 'oldpeak', 'slope', 'ca')",13,0.7817888892614293
217,"('age', 'oldpeak', 'slope', 'thal')",17,0.7544160776929656
218,"('age', 'oldpeak', 'ca', 'thal')",11,0.7997452251317949
219,"('age', 'slope', 'ca', 'thal')",3,0.7915270731472105
220,"('sex', 'cp', 'trestbps', 'chol')",17,0.7361723662246163
221,"('sex', 'cp', 'trestbps', 'fbs')",9,0.7382761435189694
222,"('sex', 'cp', 'trestbps', 'restecg')",11,0.7228421523805674
223,"('sex', 'cp', 'trestbps', 'thalach')",17,0.7433492196752145
224,"('sex', 'cp', 'trestbps', 'exang')",5,0.7217482886084917
225,"('sex', 'cp', 'trestbps', 'oldpeak')",5,0.7654085333855186
226,"('sex', 'cp', 'trestbps', 'slope')",19,0.7179586258051762
227,"('sex', 'cp', 'trestbps', 'ca')",7,0.7451288701890475
228,"('sex', 'cp', 'trestbps', 'thal')",11,0.7618684312386145
229,"('sex', 'cp', 'chol', 'fbs')",17,0.7197567287657489
230,"('sex', 'cp', 'chol', 'restecg')",9,0.7578009185044352
231,"('sex', 'cp', 'chol', 'thalach')",15,0.7375864346714653
232,"('sex', 'cp', 'chol', 'exang')",19,0.7478439091772425
233,"('sex', 'cp', 'chol', 'oldpeak')",11,0.7605044585993455
234,"('sex', 'cp', 'chol', 'slope')",9,0.7664094158414645
235,"('sex', 'cp', 'chol', 'ca')",5,0.8051837799881278
236,"('sex', 'cp', 'chol', 'thal')",17,0.7406464166113288
237,"('sex', 'cp', 'fbs', 'restecg')",15,0.7155251984412009
238,"('sex', 'cp', 'fbs', 'thalach')",19,0.7391506152649528
239,"('sex', 'cp', 'fbs', 'exang')",5,0.7228701403266621
240,"('sex', 'cp', 'fbs', 'oldpeak')",7,0.7655907952544108
241,"('sex', 'cp', 'fbs', 'slope')",9,0.7400224751094315
242,"('sex', 'cp', 'fbs', 'ca')",15,0.7450427780471506
243,"('sex', 'cp', 'fbs', 'thal')",11,0.7276411153047309
244,"('sex', 'cp', 'restecg', 'thalach')",17,0.7153786815383517
245,"('sex', 'cp', 'restecg', 'exang')",19,0.7454467203417712
246,"('sex', 'cp', 'restecg', 'oldpeak')",13,0.7513502970576276
247,"('sex', 'cp', 'restecg', 'slope')",9,0.7541025142329489
248,"('sex', 'cp', 'restecg', 'ca')",5,0.7526235893869708
249,"('sex', 'cp', 'restecg', 'thal')",13,0.7621828294491338
250,"('sex', 'cp', 'thalach', 'exang')",9,0.7482005273309622
251,"('sex', 'cp', 'thalach', 'oldpeak')",19,0.7793349632117748
252,"('sex', 'cp', 'thalach', 'slope')",15,0.7289631854994174
253,"('sex', 'cp', 'thalach', 'ca')",11,0.7861644014656981
254,"('sex', 'cp', 'thalach', 'thal')",15,0.7970442922616835
255,"('sex', 'cp', 'exang', 'oldpeak')",7,0.7479385697501639
256,"('sex', 'cp', 'exang', 'slope')",19,0.7653281356324835
257,"('sex', 'cp', 'exang', 'ca')",19,0.7864626957615595
258,"('sex', 'cp', 'exang', 'thal')",19,0.7615255790907965
259,"('sex', 'cp', 'oldpeak', 'slope')",19,0.7461767255825227
260,"('sex', 'cp', 'oldpeak', 'ca')",3,0.7956778197647763
261,"('sex', 'cp', 'oldpeak', 'thal')",19,0.7516657935250612
262,"('sex', 'cp', 'slope', 'ca')",17,0.787080724808098
263,"('sex', 'cp', 'slope', 'thal')",5,0.7707869033811062
264,"('sex', 'cp', 'ca', 'thal')",11,0.8133479145653059
265,"('sex', 'trestbps', 'chol', 'fbs')",19,0.6246749725234167
266,"('sex', 'trestbps', 'chol', 'restecg')",5,0.6317316883190262
267,"('sex', 'trestbps', 'chol', 'thalach')",11,0.720224191476163
268,"('sex', 'trestbps', 'chol', 'exang')",17,0.6804357058452115
269,"('sex', 'trestbps', 'chol', 'oldpeak')",19,0.6984706923965558
270,"('sex', 'trestbps', 'chol', 'slope')",17,0.6945355087746392
271,"('sex', 'trestbps', 'chol', 'ca')",11,0.7751199899214971
272,"('sex', 'trestbps', 'chol', 'thal')",13,0.728893553574713
273,"('sex', 'trestbps', 'fbs', 'restecg')",11,0.6439525860831787
274,"('sex', 'trestbps', 'fbs', 'thalach')",3,0.6924245624187495
275,"('sex', 'trestbps', 'fbs', 'exang')",15,0.6919724449350689
276,"('sex', 'trestbps', 'fbs', 'oldpeak')",17,0.7167722772232243
277,"('sex', 'trestbps', 'fbs', 'slope')",1,0.6775524523785393
278,"('sex', 'trestbps', 'fbs', 'ca')",15,0.7516962934169112
279,"('sex', 'trestbps', 'fbs', 'thal')",19,0.7075294654146249
280,"('sex', 'trestbps', 'restecg', 'thalach')",19,0.7043093670462092
281,"('sex', 'trestbps', 'restecg', 'exang')",15,0.6842413734653141
282,"('sex', 'trestbps', 'restecg', 'oldpeak')",5,0.7198012789434726
283,"('sex', 'trestbps', 'restecg', 'slope')",17,0.7109218679430338
284,"('sex', 'trestbps', 'restecg', 'ca')",13,0.7545251599305594
285,"('sex', 'trestbps', 'restecg', 'thal')",9,0.7425054060271451
286,"('sex', 'trestbps', 'thalach', 'exang')",13,0.7044863372217589
287,"('sex', 'trestbps', 'thalach', 'oldpeak')",7,0.6989585921325052
288,"('sex', 'trestbps', 'thalach', 'slope')",15,0.7142252570563679
289,"('sex', 'trestbps', 'thalach', 'ca')",19,0.7813876481419552
290,"('sex', 'trestbps', 'thalach', 'thal')",9,0.754363767204347
291,"('sex', 'trestbps', 'exang', 'oldpeak')",5,0.6992023139903575
292,"('sex', 'trestbps', 'exang', 'slope')",9,0.7495263292799523
293,"('sex', 'trestbps', 'exang', 'ca')",15,0.7834359509039144
294,"('sex', 'trestbps', 'exang', 'thal')",19,0.7469641952250649
295,"('sex', 'trestbps', 'oldpeak', 'slope')",19,0.7122201457750656
296,"('sex', 'trestbps', 'oldpeak', 'ca')",17,0.7653347023243405
297,"('sex', 'trestbps', 'oldpeak', 'thal')",19,0.7588219654741394
298,"('sex', 'trestbps', 'slope', 'ca')",7,0.770759709523696
299,"('sex', 'trestbps', 'slope', 'thal')",5,0.7626105054365925
300,"('sex', 'trestbps', 'ca', 'thal')",7,0.7705012164432455
301,"('sex', 'chol', 'fbs', 'restecg')",19,0.6351460834981049
302,"('sex', 'chol', 'fbs', 'thalach')",9,0.731702421952994
303,"('sex', 'chol', 'fbs', 'exang')",17,0.6972023960279569
304,"('sex', 'chol', 'fbs', 'oldpeak')",17,0.7190357244101425
305,"('sex', 'chol', 'fbs', 'slope')",19,0.6728530511073696
306,"('sex', 'chol', 'fbs', 'ca')",15,0.7459599912191921
307,"('sex', 'chol', 'fbs', 'thal')",17,0.7230365168915894
308,"('sex', 'chol', 'restecg', 'thalach')",9,0.7352413087057608
309,"('sex', 'chol', 'restecg', 'exang')",5,0.7432457534071433
310,"('sex', 'chol', 'restecg', 'oldpeak')",15,0.7157700053569619
311,"('sex', 'chol', 'restecg', 'slope')",17,0.6725655329640837
312,"('sex', 'chol', 'restecg', 'ca')",9,0.7822577894603067
313,"('sex', 'chol', 'restecg', 'thal')",9,0.7594232970464854
314,"('sex', 'chol', 'thalach', 'exang')",5,0.748049707447114
315,"('sex', 'chol', 'thalach', 'oldpeak')",11,0.7443705045338154
316,"('sex', 'chol', 'thalach', 'slope')",3,0.6902904497542179
317,"('sex', 'chol', 'thalach', 'ca')",7,0.8178864844227164
318,"('sex', 'chol', 'thalach', 'thal')",5,0.7882433348779648
319,"('sex', 'chol', 'exang', 'oldpeak')",19,0.7262214863702277
320,"('sex', 'chol', 'exang', 'slope')",15,0.7442888210611323
321,"('sex', 'chol', 'exang', 'ca')",13,0.8235719510038928
322,"('sex', 'chol', 'exang', 'thal')",19,0.7344034258816867
323,"('sex', 'chol', 'oldpeak', 'slope')",13,0.7030862636530066
324,"('sex', 'chol', 'oldpeak', 'ca')",11,0.7941863470512536
325,"('sex', 'chol', 'oldpeak', 'thal')",17,0.7380059423055061
326,"('sex', 'chol', 'slope', 'ca')",3,0.7864657486339408
327,"('sex', 'chol', 'slope', 'thal')",9,0.7293031147173024
328,"('sex', 'chol', 'ca', 'thal')",9,0.8134659552960665
329,"('sex', 'fbs', 'restecg', 'thalach')",5,0.6931023172624213
330,"('sex', 'fbs', 'restecg', 'exang')",17,0.7019635464967273
331,"('sex', 'fbs', 'restecg', 'oldpeak')",7,0.7013844192709892
332,"('sex', 'fbs', 'restecg', 'slope')",11,0.6804326575602307
333,"('sex', 'fbs', 'restecg', 'ca')",3,0.7464357176377451
334,"('sex', 'fbs', 'restecg', 'thal')",3,0.7400539315756708
335,"('sex', 'fbs', 'thalach', 'exang')",3,0.7197493659185445
336,"('sex', 'fbs', 'thalach', 'oldpeak')",17,0.751178325424163
337,"('sex', 'fbs', 'thalach', 'slope')",17,0.7070255348516219
338,"('sex', 'fbs', 'thalach', 'ca')",19,0.7904128494505427
339,"('sex', 'fbs', 'thalach', 'thal')",5,0.7842052150747802
340,"('sex', 'fbs', 'exang', 'oldpeak')",15,0.7261000947395496
341,"('sex', 'fbs', 'exang', 'slope')",15,0.730719806763285
342,"('sex', 'fbs', 'exang', 'ca')",19,0.7854536741741823
343,"('sex', 'fbs', 'exang', 'thal')",5,0.76335537087711
344,"('sex', 'fbs', 'oldpeak', 'slope')",19,0.6827576603411843
345,"('sex', 'fbs', 'oldpeak', 'ca')",5,0.786810548549679
346,"('sex', 'fbs', 'oldpeak', 'thal')",17,0.7369809606445762
347,"('sex', 'fbs', 'slope', 'ca')",11,0.7689878938039669
348,"('sex', 'fbs', 'slope', 'thal')",13,0.7402180428267385
349,"('sex', 'fbs', 'ca', 'thal')",9,0.7925505004925295
350,"('sex', 'restecg', 'thalach', 'exang')",5,0.7032885134189482
351,"('sex', 'restecg', 'thalach', 'oldpeak')",15,0.7299349201523114
352,"('sex', 'restecg', 'thalach', 'slope')",17,0.708616095659574
353,"('sex', 'restecg', 'thalach', 'ca')",7,0.8171573931760812
354,"('sex', 'restecg', 'thalach', 'thal')",9,0.7676649727084509
355,"('sex', 'restecg', 'exang', 'oldpeak')",7,0.7621634075589071
356,"('sex', 'restecg', 'exang', 'slope')",13,0.7494053365906913
357,"('sex', 'restecg', 'exang', 'ca')",5,0.786101429702879
358,"('sex', 'restecg', 'exang', 'thal')",5,0.7668022467122391
359,"('sex', 'restecg', 'oldpeak', 'slope')",13,0.7054960771493952
360,"('sex', 'restecg', 'oldpeak', 'ca')",13,0.7795971885146378
361,"('sex', 'restecg', 'oldpeak', 'thal')",19,0.7653276629577164
362,"('sex', 'restecg', 'slope', 'ca')",7,0.7412399769905491
363,"('sex', 'restecg', 'slope', 'thal')",11,0.7408991788785839
364,"('sex', 'restecg', 'ca', 'thal')",7,0.7878934189803755
365,"('sex', 'thalach', 'exang', 'oldpeak')",5,0.7467999391756723
366,"('sex', 'thalach', 'exang', 'slope')",5,0.7365433188446155
367,"('sex', 'thalach', 'exang', 'ca')",5,0.8001063183786297
368,"('sex', 'thalach', 'exang', 'thal')",15,0.7471472397704282
369,"('sex', 'thalach', 'oldpeak', 'slope')",5,0.7097417510026205
370,"('sex', 'thalach', 'oldpeak', 'ca')",11,0.8127125189413519
371,"('sex', 'thalach', 'oldpeak', 'thal')",15,0.762445965961603
372,"('sex', 'thalach', 'slope', 'ca')",3,0.8007912648143585
373,"('sex', 'thalach', 'slope', 'thal')",15,0.7430186335403727
374,"('sex', 'thalach', 'ca', 'thal')",9,0.8172843400490235
375,"('sex', 'exang', 'oldpeak', 'slope')",15,0.7672194037846211
376,"('sex', 'exang', 'oldpeak', 'ca')",11,0.8082714318772867
377,"('sex', 'exang', 'oldpeak', 'thal')",13,0.7467914404436142
378,"('sex', 'exang', 'slope', 'ca')",1,0.8006448237752585
379,"('sex', 'exang', 'slope', 'thal')",1,0.7627023341661022
380,"('sex', 'exang', 'ca', 'thal')",3,0.8204108983933545
381,"('sex', 'oldpeak', 'slope', 'ca')",13,0.7862717583007438
382,"('sex', 'oldpeak', 'slope', 'thal')",13,0.7159619068955454
383,"('sex', 'oldpeak', 'ca', 'thal')",7,0.8085221992178513
384,"('sex', 'slope', 'ca', 'thal')",15,0.7968370120147389
